filepath_rel,family,instrument,family_id,instrument_id,source_file,clip_index,duration_s,rms_db,fs,cap_used
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_001.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,1,3,-35.616369606374,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_002.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,2,3,-33.495291528532,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_003.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,3,3,-32.6132912876231,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_004.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,4,3,-31.1923598477639,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_005.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,5,3,-30.5313440021651,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_006.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,6,3,-30.9735384450378,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_007.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,7,3,-30.5123702900129,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_008.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,8,3,-31.0891488270467,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_009.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,9,3,-31.1874152033787,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_010.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,10,3,-31.7281560465684,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_011.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,11,3,-31.5086727162856,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_012.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,12,3,-31.3051668471239,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_013.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,13,3,-31.2656217918131,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_014.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,14,3,-32.2074795133717,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_015.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,15,3,-32.6014112858552,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_016.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,16,3,-31.185778285997,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_017.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,17,3,-32.2569519217377,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_018.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,18,3,-31.4895645195361,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_019.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,19,3,-32.2045878537808,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_020.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,20,3,-32.1794042329626,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_021.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,21,3,-33.3726349813436,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_022.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,22,3,-33.4768803862581,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_023.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,23,3,-34.2764618038908,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_024.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,24,3,-33.5890061255297,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_025.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,25,3,-34.7355029710561,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_026.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,26,3,-33.054804587543,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_027.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,27,3,-33.7647684585155,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_028.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,28,3,-33.9048143163415,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_029.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,29,3,-33.8263895748551,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_030.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,30,3,-32.4014177329406,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_031.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,31,3,-32.591779750318,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_032.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,32,3,-31.2863828592415,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_033.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,33,3,-31.1851632214407,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_034.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,34,3,-31.6368999809684,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_035.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,35,3,-31.9416045167563,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_036.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,36,3,-31.0960141354805,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_037.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,37,3,-32.5051437589733,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_038.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,38,3,-31.5751077854206,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_039.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,39,3,-34.0673643360959,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_001_clip_040.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_001,40,3,-35.0360978214328,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_002_clip_001.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_002,1,3,-23.7750652478175,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_002_clip_002.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_002,2,3,-24.0867104327008,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_002_clip_003.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_002,3,3,-23.3656050336754,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_002_clip_004.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_002,4,3,-23.6408749303278,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_002_clip_005.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_002,5,3,-23.0894671456655,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_002_clip_006.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_002,6,3,-23.7567198883595,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_002_clip_007.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_002,7,3,-24.0401846289514,16000,40
Segmented/keyboards/harpsichord/keyboards_harpsichord_keyboards_harpsichord_002_clip_008.wav,keyboards,harpsichord,4,9,keyboards_harpsichord_002,8,3,-22.9735565765366,16000,40
